dataset,task,baseline,best,best_gain,best_view,best_strength,best_strength_rank,structure_view,segment,intra,trend,segment_inter,boundary,dynamics,source_reliability,source_compactness,source_separability,target_margin_ratio,target_assignment_entropy,temporal_mismatch_cv,temporal_mismatch_top20_ratio,uniform_k3_adjusted_compression,uniform_k5_adjusted_compression,uniform_k8_adjusted_compression,dynamics_delta_cosine_mean,suggested_view,suggested_strength_factor
remote,AT1->DK1,0.7483,0.8623,0.11399999999999999,segmented,medium,0.5,segmented_compact,segmented,1.0,0.05,0.02,0.2,0.0,1.1129449255712445,0.7847922733490122,0.8734316911962298,0.05703242868185043,0.8138980097084644,0.27300338552850123,0.28074440360069275,0.03977087220532164,0.07993103339576148,0.0949989405443905,0.12028800696134567,global,0.8866688795887676
remote,AT1->FR1,0.7143,0.723,0.00869999999999993,segmented,medium,0.5,segmented_compact,segmented,1.0,0.05,0.02,0.2,0.0,1.061995356097918,0.6249422261316795,0.6636868039766948,0.15731394290924072,0.6438482713939159,0.2961098517239105,0.3031611740589142,0.036776813151297605,0.09778068525414418,0.15681727836922943,-0.004658817313611507,global,0.9038039358862267
remote,AT1->FR2,0.6214,0.6323,0.01090000000000002,segmented,medium,0.5,segmented_compact,segmented,1.0,0.02,0.02,0.2,0.0,1.048825338917247,0.6337886612673174,0.6647346562809414,0.0657566487789154,0.7369516490955583,0.2000479002326214,0.26666656136512756,0.000652889970890849,0.0033059608409865514,0.10318166553185892,0.17362463474273682,global,0.8891801278697437
remote,DK1->AT1,0.6703,0.6816,0.011299999999999977,segmented,light,0.25,segmented_compact,segmented,1.0,0.05,0.005,0.0,0.0,0.6843496853400526,0.7024067125021247,0.4806924970312552,0.04521685466170311,0.7135732429522731,0.3770695453039268,0.31426554918289185,0.08373963080948597,0.1671606721360751,0.16667989215083984,0.11309429258108139,global,0.8804131154236527
remote,DK1->FR1,0.5683,0.6359,0.0676,dynamics,light,0.25,pointwise_dynamics,noseg,1.0,0.0,0.0,0.0,0.05,0.5221241968749346,0.8485158554103691,0.44303118166598404,0.08844929933547974,0.699443042740048,0.3307265986350648,0.28962522745132446,0.03728746932179052,0.10566398979573546,0.08601315589207989,-0.042095255106687546,global,0.8832373648958365
remote,DK1->FR2,0.4531,0.509,0.055900000000000005,segmented,medium,0.5,segmented_compact,segmented,1.0,0.05,0.02,0.2,0.0,0.5121793465976388,0.8364716731011868,0.4284240271557461,0.02849123254418373,0.5090856634353308,0.24325689761373437,0.28019577264785767,0.18307169301299028,0.21073793955025927,0.15466032658623013,0.096979521214962,global,0.8772274256660652
remote,FR1->AT1,0.8136,0.8211,0.007500000000000062,segmented,medium,0.5,segmented_compact,segmented,1.0,0.03,0.01,0.1,0.0,0.8692047757719523,0.4283570932166185,0.37233090036445193,0.1497134566307068,0.6867056719469709,0.3803872032488301,0.32630452513694763,0.03137801079707362,0.09622688423621847,0.1479766835796168,-0.02469358965754509,global,0.8970762434941586
remote,FR1->DK1,0.6581,0.6977,0.03959999999999997,segmented,medium,0.5,segmented_compact,segmented,1.0,0.02,0.02,0.2,0.0,0.8551328906500714,0.42376910826715175,0.36237975765358316,0.08883991837501526,0.7245859012678811,0.3936345197342759,0.31366121768951416,0.07170198178129754,0.13083175704205519,0.13210219244616642,-0.02955721877515316,global,0.8882816796113572
remote,FR1->FR2,0.7946,0.8101,0.01550000000000007,global,strong,1.0,global_compact,noseg,5.0,0.0,0.0,0.0,0.0,0.8208753013090113,0.425884553558717,0.3495989321006669,0.07185253500938416,0.6200982443248167,0.21919996924262916,0.2719438970088959,0.027302911996755563,0.050647938072045255,0.04818110056017758,0.00602901354432106,global,0.8855233167224282
remote,FR2->AT1,0.6545,0.6872,0.03270000000000006,segmented,medium,0.5,segmented_compact,segmented,1.0,0.05,0.02,0.2,0.0,0.896638005669001,0.5518820418074029,0.4948393099687316,0.1166762039065361,0.5632846845392868,0.4077474444239135,0.31553390622138977,0.04632868414691184,0.05615007248076984,0.11067889610009307,0.14329124987125397,global,0.8901097503592518
remote,FR2->DK1,0.5156,0.6862,0.17060000000000008,segmented,medium,0.5,segmented_compact,segmented,1.0,0.05,0.02,0.2,0.0,0.9127468443285972,0.5505809076785226,0.5025418987779906,0.05173978954553604,0.5807102970720971,0.2239414342763147,0.2739053964614868,0.12107614445679786,0.14100940212230248,0.10572521061741294,0.08727212995290756,global,0.8830131627443253
remote,FR2->FR1,0.6513,0.7957,0.14439999999999997,dynamics,light,0.25,global_trajectory,noseg,1.0,0.0,0.0,0.0,0.01,0.9168085781025379,0.5495706765941577,0.5038520273837176,0.07172630727291107,0.573612169700762,0.24123098135685755,0.28111332654953003,0.0468040082445811,0.08764284520484522,0.08839895869803385,-0.09770795702934265,global,0.8859085567965258
