task,source,target,distance_mode,partition,partition_description,class_count,common_points,mean_domain_distance,locality_peak_ratio,locality_top20_mass,temporal_variation_ratio,partition_compression,complexity_adjusted_compression,segment_contrast,boundary_mass_ratio,boundary_mass_fraction,source_dispersion_mean,target_dispersion_mean,domain_to_source_dispersion_ratio,diagnostic_hint,segment_sizes
FR2_to_FR1,france/31TCJ/2017,france/30TXT/2017,source_mad_l1,uniform:1,global,18,99,2.2119025044926346,2.843330846971231,0.3950244776747141,0.4796402051110747,0.0,0.0,0.0,0.0,0.0,1.6238330631316125,2.5625514759336756,1.3621489515842915,trajectory_dynamics_probe,[99]
FR2_to_FR1,france/31TCJ/2017,france/30TXT/2017,joint_z_l2,uniform:1,global,18,99,3.4743416993400977,2.684413235810446,0.3816966064852309,0.44760791311275827,0.0,0.0,0.0,0.0,0.0,1.6238330631316125,2.5625514759336756,2.1395929041127677,trajectory_dynamics_probe,[99]
FR2_to_FR1,france/31TCJ/2017,france/30TXT/2017,source_mad_l1,uniform:2,uniform:2,18,99,2.2119025044926346,2.843330846971231,0.3950244776747141,0.4796402051110747,4.4106422047551774e-05,3.1187950123699706e-05,0.0038434105584503817,1.2633032958349477,0.03828191805560448,1.6238330631316125,2.5625514759336756,1.3621489515842915,trajectory_dynamics_probe,"[50, 49]"
FR2_to_FR1,france/31TCJ/2017,france/30TXT/2017,joint_z_l2,uniform:2,uniform:2,18,99,3.4743416993400977,2.684413235810446,0.3816966064852309,0.44760791311275827,0.00020328569989069845,0.00014374469691096626,0.007661124655601655,1.2323399226702727,0.037343634020311295,1.6238330631316125,2.5625514759336756,2.1395929041127677,trajectory_dynamics_probe,"[50, 49]"
FR2_to_FR1,france/31TCJ/2017,france/30TXT/2017,source_mad_l1,uniform:5,uniform:5,18,99,2.2119025044926346,2.843330846971231,0.3950244776747141,0.4796402051110747,0.1307961613195956,0.05849382158132887,0.20896038631554073,1.008522787754586,0.12224518639449526,1.6238330631316125,2.5625514759336756,1.3621489515842915,trajectory_dynamics_probe,"[20, 20, 20, 20, 19]"
FR2_to_FR1,france/31TCJ/2017,france/30TXT/2017,joint_z_l2,uniform:5,uniform:5,18,99,3.4743416993400977,2.684413235810446,0.3816966064852309,0.44760791311275827,0.1292540581437932,0.05780417207544637,0.19286510874255383,1.0026836577521059,0.12153741306086134,1.6238330631316125,2.5625514759336756,2.1395929041127677,trajectory_dynamics_probe,"[20, 20, 20, 20, 19]"
FR2_to_FR1,france/31TCJ/2017,france/30TXT/2017,source_mad_l1,uniform:10,uniform:10,18,99,2.2119025044926346,2.843330846971231,0.3950244776747141,0.4796402051110747,0.2670900350440706,0.0844612851073454,0.3032501319833598,1.0117610768006857,0.27593483912745975,1.6238330631316125,2.5625514759336756,1.3621489515842915,trajectory_dynamics_probe,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 9]"
FR2_to_FR1,france/31TCJ/2017,france/30TXT/2017,joint_z_l2,uniform:10,uniform:10,18,99,3.4743416993400977,2.684413235810446,0.3816966064852309,0.44760791311275827,0.24903188283960653,0.07875079597733568,0.2713832834684018,1.0216741772900837,0.27863841198820466,1.6238330631316125,2.5625514759336756,2.1395929041127677,trajectory_dynamics_probe,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 9]"
FR2_to_FR1,france/31TCJ/2017,france/30TXT/2017,source_mad_l1,doy_gap:5,"mode=doy_gap, segment_count=8, gap_threshold=45, min_points=3, max_points=8, max_span=120, intervals=[25,85], [95,155], [165,215], [225,250], [255,280], [285,310], [315,335], [340,360]",18,99,2.2119025044926346,2.843330846971231,0.3950244776747141,0.4796402051110747,0.23233662821912537,0.08214340266588066,0.25098228808239775,0.9361685708322407,0.1985812119947177,1.6238330631316125,2.5625514759336756,1.3621489515842915,trajectory_dynamics_probe,"[11, 15, 15, 10, 8, 12, 10, 8]"
FR2_to_FR1,france/31TCJ/2017,france/30TXT/2017,joint_z_l2,doy_gap:5,"mode=doy_gap, segment_count=8, gap_threshold=45, min_points=3, max_points=8, max_span=120, intervals=[25,85], [95,155], [165,215], [225,250], [255,280], [285,310], [315,335], [340,360]",18,99,3.4743416993400977,2.684413235810446,0.3816966064852309,0.44760791311275827,0.2170504397364339,0.07673891889857724,0.22048523830690325,0.9577056028847373,0.2031496733391867,1.6238330631316125,2.5625514759336756,2.1395929041127677,trajectory_dynamics_probe,"[11, 15, 15, 10, 8, 12, 10, 8]"
