checkpoint_loaded,dataset,dynamics_delta_cosine_mean,dynamics_delta_cosine_std,feature_dim,feature_mode,min_source_class_count,num_classes,sequence_length_source,sequence_length_target,source,source_compactness,source_delta_activity,source_late_early_radius_ratio,source_radius_phase_cv,source_reliability,source_samples,source_separability,suggested_strength_factor,suggested_view,target,target_assignment_entropy,target_delta_activity,target_margin,target_margin_ratio,target_nearest_distance,target_samples,task,temporal_mismatch_burstiness,temporal_mismatch_cv,temporal_mismatch_mean,temporal_mismatch_std,temporal_mismatch_top20_ratio,uniform_k3_adjusted_compression,uniform_k3_compression,uniform_k5_adjusted_compression,uniform_k5_compression,uniform_k8_adjusted_compression,uniform_k8_compression,view_dynamics_score,view_global_score,view_segmented_score
False,remote,0.0012111582327634096,0.8054634928703308,10,raw_input,10,12,52,58,denmark/32VNH/2017,0.020692737191211563,0.046879351139068604,0.9810847043991089,0.40257444977760315,0.3804565374565431,2048,0.007873067598804042,0.875,global,austria/33UVP/2017,0.564444452518382,0.03606824576854706,0.004477653186768293,0.26725924015045166,0.011582535691559315,2048,DK1->AT1,2.7522566318511963,0.5884139892449756,0.052763402462005615,0.031047312542796135,0.3648669123649597,0.03359737294309248,0.05819235693827607,0.038342798103787476,0.08573710300761883,0.062401263550362525,0.17649742644428112,0.04145671971077459,0.052135740535185326,0.0031752874922434523
False,remote,-0.09568536281585693,0.8050010204315186,10,raw_input,9,12,52,62,denmark/32VNH/2017,0.02033026719385589,0.04678621515631676,0.9911634922027588,0.4000837504863739,0.3482275272606437,2048,0.007079906900991883,0.875,global,france/30TXT/2017,0.5625215247443885,0.037656091153621674,0.004469582810997963,0.16730093955993652,0.02142738178372383,2048,DK1->FR1,2.8633639812469482,0.5975528744291088,0.044258203357458115,0.02644721418619156,0.3778626620769501,0.020075834249851803,0.03477236492507474,0.07017585060697305,0.15691797233606164,0.06879354664150536,0.19457753332832595,0.02140355526812001,0.029630645509461248,0.0033218807596228925
False,remote,-0.10683230310678482,0.8197186589241028,10,raw_input,9,12,52,39,denmark/32VNH/2017,0.02065943300328854,0.03805197402834892,0.9914697408676147,0.39978277683258057,0.3110340118241067,2048,0.006426097363036013,0.875,global,france/31TCJ/2017,0.4916436259486629,0.04352468624711037,0.00419030524790287,0.2014758586883545,0.014020970091223717,2048,DK1->FR2,2.6857404708862305,0.5100311525384101,0.05008457601070404,0.025545204058289528,0.37206602096557617,0.0015149506634321679,0.0026239715200246927,0.0047046400280940604,0.01051989491248484,0.06687288742723656,0.18914508870929436,0.020755307782549352,0.030777990337615465,0.00021865155251101339
False,remote,-0.18840692937374115,0.7616128325462341,10,raw_input,1,11,62,58,france/30TXT/2017,0.028943208360601602,0.03758566454052925,0.9683902859687805,0.4656901955604553,0.5905414720853309,2048,0.017092755413614213,0.875,global,austria/33UVP/2017,0.41357479169442235,0.05143476650118828,0.009704847820103168,0.35760676860809326,0.014103967696428299,2048,FR1->AT1,2.7368834018707275,0.6350178174664356,0.060008011758327484,0.03810679167509079,0.4183753728866577,0.020920069406358613,0.0362346231096804,0.06643551064963152,0.1485543179324873,0.10134483793806338,0.28664648857702524,0.05686621815051682,0.08570842655155918,0.009309927297993605
False,remote,-0.09979775547981262,0.7898387908935547,10,raw_input,0,11,62,52,france/30TXT/2017,0.028277477295262088,0.03731381893157959,0.95380038022995,0.46145954728126526,0.514654966984,2048,0.014553658798750905,0.875,global,denmark/32VNH/2017,0.37745536002438357,0.04645945504307747,0.003908020909875631,0.18049290776252747,0.01974419876933098,2048,FR1->DK1,2.922041893005371,0.6111397470704627,0.043949708342552185,0.02686002478003502,0.38276469707489014,0.021267644612164543,0.03683664102558748,0.06887392552042167,0.15400677934092044,0.07212631028363774,0.20400401241410104,0.02623428543603793,0.03617644871313223,0.004014338404957487
False,remote,-0.10648982226848602,0.774858832359314,10,raw_input,2,11,62,39,france/30TXT/2017,0.028116596182030662,0.037884362041950226,0.9393051266670227,0.47079554200172424,0.47339799256863757,2048,0.013310813588428904,0.875,global,france/31TCJ/2017,0.7808485427372659,0.04123573750257492,0.0021365201100707054,0.19805139303207397,0.00853040162473917,2048,FR1->FR2,2.6000876426696777,0.5937434814913592,0.044258974492549896,0.02627907134592533,0.40047454833984375,0.014579676863725691,0.025252741085909358,0.05938451589335425,0.13278781434845677,0.07631425925448357,0.2158493208802943,0.04059433904943242,0.05701347930335997,0.005395965782016197
False,remote,0.3815295994281769,0.7745848894119263,10,raw_input,8,12,39,58,france/31TCJ/2017,0.010883865468201748,0.041384804993867874,1.339232087135315,0.6745075583457947,0.5754756844110389,2048,0.006263975405035484,0.875,dynamics,austria/33UVP/2017,0.4251926493080739,0.05285138264298439,0.0015673240413889289,0.07606104016304016,0.02301754802465439,2048,FR2->AT1,3.1382675170898438,0.7139387369664312,0.05127635970711708,0.03660889342427254,0.4383027255535126,0.021716555053902818,0.037614176718726355,0.056330662864351774,0.1259591913823136,0.13433968744597902,0.3799700159021323,0.020414894617168812,0.01724335023882905,0.0016647989975270765
False,remote,-0.07746347784996033,0.8194040060043335,10,raw_input,4,12,39,52,france/31TCJ/2017,0.01088584535608561,0.040686577558517456,1.321371078491211,0.6733331680297852,0.5320340922704192,2048,0.005792172886713436,0.875,global,denmark/32VNH/2017,0.6165267181947811,0.03763766214251518,0.0006679777288809419,0.03401629999279976,0.026456575840711594,2048,FR2->DK1,2.736745834350586,0.529310142516253,0.04916614666581154,0.026024669408798218,0.3839099109172821,0.00670106067729997,0.01160657755768546,0.013158038824871326,0.02942226926299374,0.07056528282592962,0.19958876001024584,0.007233726195309823,0.010254463053227157,0.00020634771164299817
False,remote,-0.12042228877544403,0.7794389128684998,10,raw_input,8,12,39,62,france/31TCJ/2017,0.010858805830480378,0.041281312704086304,1.3080382347106934,0.6731445789337158,0.559688950038824,2048,0.006078113322887061,0.875,global,france/30TXT/2017,0.456052049703879,0.03746332600712776,0.001614550594240427,0.08176828175783157,0.025981279090046883,2048,FR2->FR1,2.57781720161438,0.5851996134345496,0.04448318108916283,0.02603212557733059,0.39765629172325134,0.016635598512049536,0.02881370183718701,0.05640301256848315,0.12612097023890334,0.07604293551081759,0.21508190144412176,0.01421060417279959,0.02038376317258852,0.001822512952603744
