metric,max_source_corr,min_source_corr,source_corr_spread,source_count
source_phase_separability_p4,0.9810708851375365,-0.49001934979874995,1.4710902349362864,4
target_phase_separability_p3,0.8535758685515955,-0.6110629005855032,1.4646387691370988,4
raw_target_phase_boundary_4,0.5595160397304882,-0.8565099465389168,1.4160259862694051,4
raw_target_phase_boundary_2,0.928585196287505,-0.4836941133602287,1.4122793096477337,4
target_phase_compactness_p1,0.9743707150455596,-0.41225508830640734,1.386625803351967,4
raw_target_phase_compactness_p4,0.729873385239014,-0.6371736164460869,1.3670470016851008,4
raw_phase_compactness_gap_p4,0.6371736164460868,-0.729873385239014,1.3670470016851008,4
source_phase_margin_p1,0.9755850801016609,-0.37810585328526103,1.3536909333869218,4
raw_phase_separability_gap_p3,0.893686180146681,-0.45518215247784816,1.3488683326245292,4
raw_target_phase_separability_p3,0.45518215247784816,-0.893686180146681,1.3488683326245292,4
source_phase_separability_p2,0.9992761879518598,-0.304403227984661,1.3036794159365208,4
target_phase_compactness_p2,0.9933732861289276,-0.2519433169493345,1.245316603078262,4
raw_phase_separability_gap_p4,0.28674955911910466,-0.9560041635970811,1.2427537227161858,4
raw_target_phase_separability_p4,0.9560041635970811,-0.28674955911910466,1.2427537227161858,4
raw_target_phase_separability_p1,0.21796664885884093,-0.9783321906841747,1.1962988395430156,4
raw_phase_separability_gap_p1,0.9783321906841745,-0.21796664885884093,1.1962988395430154,4
phase_separability_gap_p4,0.4610928878700767,-0.6765246155789497,1.1376175034490263,4
source_phase_boundary_4,0.7856913379153512,-0.3076924468471074,1.0933837847624586,2
source_phase_compactness_p2,0.28708302273766506,-0.7941205356928484,1.0812035584305133,4
phase_compactness_gap_p2,-0.058662460005814064,-0.9640236764595761,0.905361216453762,4
phase_separability_gap_p2,0.9788530342686719,0.1918039210131674,0.7870491132555044,4
source_phase_separability_p1,0.9999995445342467,0.22708508303613695,0.7729144614981097,4
raw_phase_compactness_gap_p2,0.9955296027376149,0.2657428173441287,0.7297867853934863,4
raw_target_phase_compactness_p2,-0.2657428173441287,-0.9955296027376149,0.7297867853934863,4
target_phase_separability_p1,-0.27001224055258266,-0.9731751543362254,0.7031629137836427,4
phase_separability_gap_p1,0.9868464677159777,0.4139756550825817,0.572870812633396,4
source_phase_margin_p2,0.8128600641259028,0.2754422589789595,0.5374178051469434,4
raw_phase_margin_gap_p2,0.9972102998351813,0.49311037244127065,0.5040999273939106,4
raw_target_phase_margin_p2,-0.49311037244127065,-0.9972102998351813,0.5040999273939106,4
phase_compactness_gap_p3,0.8968804634989033,0.3987642210097708,0.49811624248913244,4
raw_target_phase_margin_p1,-0.518771100594914,-0.9972347509827684,0.4784636503878543,4
raw_phase_margin_gap_p1,0.9972347509827684,0.518771100594914,0.4784636503878543,4
source_phase_boundary_2,0.8761921680018896,0.43612198193880153,0.44007018606308806,4
target_phase_separability_p2,-0.5091810370950192,-0.9391042159047577,0.4299231788097385,4
target_phase_margin_p5,-0.6112634242598851,-0.9972591343632593,0.3859957101033742,4
target_phase_margin_p3,-0.6404934608406613,-0.9977071463929077,0.3572136855522464,4
phase_separability_gap_p5,0.9568616905598055,0.6387660729641679,0.31809561759563765,4
source_phase_boundary_3,0.43612198193880136,0.12818589236653308,0.30793608957226826,2
raw_phase_margin_gap_p3,0.9987010107181359,0.7022694062481807,0.2964316044699552,4
raw_target_phase_margin_p3,-0.7022694062481807,-0.9987010107181359,0.2964316044699552,4
target_phase_margin_p2,-0.7329134153973824,-0.9976743233895683,0.2647609079921859,4
target_phase_separability_p5,-0.6755796210816055,-0.9091392542974589,0.23355963321585338,4
phase_margin_gap_p3,0.997803488310425,0.7673625851074348,0.23044090320299015,4
phase_margin_gap_p2,0.9972211704553332,0.7793098687886241,0.21791130166670913,4
phase_margin_gap_p5,0.9995194889565289,0.7860129756540499,0.21350651330247894,4
target_phase_margin_p1,-0.7852261046509611,-0.9976731344544313,0.2124470298034702,4
phase_margin_gap_p1,0.997639327737724,0.7853376054852077,0.2123017222525163,4
