group_name,group_value,metric,corr_with_target_f1,abs_corr,pair_count,task_count
overall,all,target_phase_compactness_p5,0.4267437834889259,0.4267437834889259,12,12
overall,all,source_phase_boundary_4,-0.4246838063305162,0.4246838063305162,12,12
overall,all,raw_target_phase_compactness_p1,-0.4033906232563731,0.4033906232563731,12,12
overall,all,raw_phase_compactness_gap_p3,0.39790519829158405,0.39790519829158405,12,12
overall,all,raw_source_phase_compactness_p5,-0.3955842298940707,0.3955842298940707,12,12
overall,all,source_phase_compactness_p5,0.3952168253307251,0.3952168253307251,12,12
overall,all,raw_source_phase_margin_p4,0.38470684303807434,0.38470684303807434,12,12
overall,all,phase_compactness_gap_p5,-0.3775555946939814,0.3775555946939814,12,12
overall,all,source_phase_separability_p4,0.37574290179050696,0.37574290179050696,12,12
overall,all,raw_phase_compactness_gap_p1,0.37231730427394966,0.37231730427394966,12,12
overall,all,raw_target_phase_compactness_p2,-0.37024457887179635,0.37024457887179635,12,12
overall,all,phase_separability_gap_p2,0.3261416081125672,0.3261416081125672,12,12
overall,all,raw_target_phase_boundary_1,0.3217611864616666,0.3217611864616666,12,12
overall,all,target_phase_separability_p5,-0.29848820863590475,0.29848820863590475,12,12
overall,all,raw_source_phase_separability_p2,0.2850348908852347,0.2850348908852347,12,12
overall,all,raw_phase_separability_gap_p5,0.27986460095445376,0.27986460095445376,12,12
overall,all,raw_target_phase_boundary_2,0.2760063512469599,0.2760063512469599,12,12
overall,all,raw_target_phase_boundary_3,0.2606214179718372,0.2606214179718372,12,12
overall,all,target_phase_separability_p3,0.2515607111752839,0.2515607111752839,12,12
overall,all,target_phase_margin_p5,-0.2496453470295438,0.2496453470295438,12,12
overall,all,phase_margin_gap_p5,0.2495977000101411,0.2495977000101411,12,12
overall,all,phase_separability_gap_p5,0.24781714265029323,0.24781714265029323,12,12
overall,all,phase_margin_gap_p1,0.23287297229861556,0.23287297229861556,12,12
overall,all,target_phase_margin_p1,-0.23127994450489736,0.23127994450489736,12,12
overall,all,target_phase_separability_p2,-0.22938500141405324,0.22938500141405324,12,12
overall,all,target_phase_separability_p1,-0.22703934584837196,0.22703934584837196,12,12
overall,all,phase_compactness_gap_p1,-0.2261239902147493,0.2261239902147493,12,12
overall,all,phase_margin_gap_p2,0.22553248959219688,0.22553248959219688,12,12
overall,all,target_phase_margin_p2,-0.2230953663631133,0.2230953663631133,12,12
overall,all,raw_source_phase_compactness_p1,0.22038308985677207,0.22038308985677207,12,12
overall,all,raw_phase_margin_gap_p4,0.21519326841016265,0.21519326841016265,12,12
overall,all,raw_phase_compactness_gap_p5,-0.21492357999104217,0.21492357999104217,12,12
overall,all,raw_target_phase_separability_p4,0.21280930210517576,0.21280930210517576,12,12
overall,all,phase_margin_gap_p3,0.21135723286229116,0.21135723286229116,12,12
overall,all,phase_margin_gap_p4,0.2107278993275015,0.2107278993275015,12,12
overall,all,source_phase_separability_p2,0.21033357496555954,0.21033357496555954,12,12
overall,all,source_phase_boundary_1,-0.21010459049753208,0.21010459049753208,12,12
overall,all,phase_compactness_gap_p3,0.20716235426581678,0.20716235426581678,12,12
overall,all,target_phase_margin_p3,-0.2070412065613047,0.2070412065613047,12,12
overall,all,target_phase_margin_p4,-0.2044186463919672,0.2044186463919672,12,12
overall,all,raw_phase_margin_gap_p3,0.19914130599361177,0.19914130599361177,12,12
overall,all,raw_target_phase_margin_p3,-0.1989024545971748,0.1989024545971748,12,12
overall,all,raw_phase_margin_gap_p1,0.19159847596268093,0.19159847596268093,12,12
overall,all,raw_phase_margin_gap_p5,0.18722343725245819,0.18722343725245819,12,12
overall,all,raw_phase_margin_gap_p2,0.187158223142688,0.187158223142688,12,12
overall,all,raw_target_phase_margin_p2,-0.18230316160495458,0.18230316160495458,12,12
overall,all,raw_target_phase_margin_p4,-0.1820090170190059,0.1820090170190059,12,12
overall,all,raw_target_phase_margin_p1,-0.18148686596241,0.18148686596241,12,12
overall,all,raw_target_phase_margin_p5,-0.17965511088172278,0.17965511088172278,12,12
overall,all,raw_target_phase_separability_p3,-0.170738611295974,0.170738611295974,12,12
overall,all,phase_separability_gap_p4,0.16375040505486563,0.16375040505486563,12,12
overall,all,raw_target_phase_compactness_p4,0.14776362771681872,0.14776362771681872,12,12
overall,all,target_phase_boundary_4,0.13227687167299548,0.13227687167299548,12,12
overall,all,phase_separability_gap_p3,0.12385259075864838,0.12385259075864838,12,12
overall,all,raw_phase_separability_gap_p2,0.12067538544150287,0.12067538544150287,12,12
overall,all,raw_phase_compactness_gap_p2,0.11955764724224284,0.11955764724224284,12,12
overall,all,raw_phase_separability_gap_p3,0.11257640575189837,0.11257640575189837,12,12
overall,all,raw_phase_separability_gap_p4,-0.11044426309845189,0.11044426309845189,12,12
overall,all,source_phase_boundary_2,-0.09840389749502254,0.09840389749502254,12,12
overall,all,raw_source_phase_compactness_p2,-0.09617031456322875,0.09617031456322875,12,12
overall,all,target_phase_separability_p4,0.09064714340481797,0.09064714340481797,12,12
overall,all,target_phase_boundary_1,-0.08267836156738669,0.08267836156738669,12,12
overall,all,raw_target_phase_separability_p1,-0.07945641585711094,0.07945641585711094,12,12
overall,all,raw_target_phase_separability_p2,0.07714276591926991,0.07714276591926991,12,12
overall,all,raw_phase_compactness_gap_p4,-0.07642882492100381,0.07642882492100381,12,12
overall,all,raw_target_phase_separability_p5,0.0616008110596045,0.0616008110596045,12,12
overall,all,target_phase_boundary_2,0.061499232725680524,0.061499232725680524,12,12
overall,all,raw_target_phase_boundary_4,0.0612494912717329,0.0612494912717329,12,12
overall,all,raw_source_phase_separability_p4,0.060393901318870034,0.060393901318870034,12,12
overall,all,target_phase_boundary_3,-0.053736055413888185,0.053736055413888185,12,12
overall,all,raw_source_phase_boundary_3,-0.04365996981894171,0.04365996981894171,12,12
