group_name,group_value,metric,corr_with_target_f1,abs_corr,pair_count,task_count
target,AT1,raw_target_phase_separability_p1,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_separability_p2,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_separability_p3,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_separability_p4,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_separability_p5,0.5322350452300796,0.5322350452300796,3,3
target,AT1,source_phase_separability_p5,0.5289906962424102,0.5289906962424102,3,3
target,AT1,raw_source_phase_compactness_p4,-0.5263995972679292,0.5263995972679292,3,3
target,AT1,raw_source_phase_margin_p3,-0.5243593786703559,0.5243593786703559,3,3
target,AT1,raw_phase_separability_gap_p3,-0.5215599388250978,0.5215599388250978,3,3
target,AT1,raw_source_phase_compactness_p3,-0.5064893879083717,0.5064893879083717,3,3
target,AT1,source_phase_separability_p3,0.4948105817440742,0.4948105817440742,3,3
target,AT1,raw_source_phase_separability_p3,-0.47311607891252444,0.47311607891252444,3,3
target,AT1,raw_source_phase_boundary_3,0.4670566671050439,0.4670566671050439,3,3
target,AT1,raw_source_phase_boundary_4,-0.46705666710504384,0.46705666710504384,3,3
target,AT1,source_phase_margin_p2,-0.4419629537582541,0.4419629537582541,3,3
target,AT1,raw_phase_separability_gap_p4,-0.4204086744888015,0.4204086744888015,3,3
target,AT1,source_phase_margin_p3,0.41358884098922805,0.41358884098922805,3,3
target,AT1,raw_source_phase_margin_p2,0.39066502185865726,0.39066502185865726,3,3
target,AT1,phase_margin_gap_p5,0.2902820365348349,0.2902820365348349,3,3
target,AT1,target_phase_margin_p1,-0.2892932777680597,0.2892932777680597,3,3
target,AT1,target_phase_boundary_2,-0.24099919532366956,0.24099919532366956,3,3
target,AT1,phase_compactness_gap_p5,-0.2372759726865225,0.2372759726865225,3,3
target,AT1,raw_phase_compactness_gap_p5,-0.2334389012004343,0.2334389012004343,3,3
target,AT1,target_phase_margin_p2,0.214367792559578,0.214367792559578,3,3
